Date,TAIEX,00631L,0056,00878
2008-11-05,4978.23681640625,,15.270000457763672,
2008-11-06,4694.09912109375,,14.40999984741211,
2008-11-07,4742.30859375,,14.680000305175781,
2008-11-10,4740.24853515625,,14.739999771118164,
2008-11-11,4638.548828125,,14.390000343322754,
2008-11-12,4615.548828125,,14.350000381469727,
2008-11-13,4437.8095703125,,13.960000038146973,
2008-11-14,4452.6796875,,14.029999732971191,
2008-11-17,4439.779296875,,14.0,
2008-11-18,4305.16015625,,13.649999618530273,
2008-11-19,4284.06982421875,,13.600000381469727,
2008-11-20,4089.9111328125,,12.899999618530273,
2008-11-21,4171.080078125,,12.890000343322754,
2008-11-24,4160.52001953125,,12.819999694824219,
2008-11-25,4266.47021484375,,13.069999694824219,
2008-11-26,4271.77978515625,,13.100000381469727,
2008-11-27,4453.7294921875,,13.640000343322754,
2008-11-28,4460.4697265625,,13.609999656677246,
2008-12-01,4518.40966796875,,13.729999542236328,
2008-12-02,4356.9599609375,,13.270000457763672,
2008-12-03,4307.23974609375,,13.130000114440918,
2008-12-04,4254.93994140625,,13.0,
2008-12-05,4225.0498046875,,12.920000076293945,
2008-12-08,4418.31005859375,,13.449999809265137,
2008-12-09,4472.6396484375,,13.5600004196167,
2008-12-10,4658.84912109375,,14.079999923706055,
2008-12-11,4655.548828125,,14.109999656677246,
2008-12-12,4481.24951171875,,13.649999618530273,
2008-12-15,4613.69921875,,14.029999732971191,
2008-12-16,4616.869140625,,13.930000305175781,
2008-12-17,4647.9990234375,,14.0,
2008-12-18,4694.7890625,,14.15999984741211,
2008-12-19,4694.4990234375,,14.109999656677246,
2008-12-22,4535.51904296875,,13.529999732971191,
2008-12-23,4405.83984375,,13.170000076293945,
2008-12-24,4423.06982421875,,13.210000038146973,
2008-12-25,4413.43017578125,,13.239999771118164,
2008-12-26,4425.06005859375,,13.34000015258789,
2008-12-29,4416.14013671875,,13.289999961853027,
2008-12-30,4589.01904296875,,13.739999771118164,
2008-12-31,4591.19921875,,13.670000076293945,
2009-01-05,4698.2890625,,13.920000076293945,
2009-01-06,4727.23828125,,14.039999961853027,
2009-01-07,4789.81787109375,,14.279999732971191,
2009-01-08,4535.76904296875,,13.609999656677246,
2009-01-09,4502.7197265625,,13.600000381469727,
2009-01-12,4453.87939453125,,13.699999809265137,
2009-01-13,4532.3388671875,,13.800000190734863,
2009-01-14,4521.44970703125,,13.699999809265137,
2009-01-15,4320.75,,13.199999809265137,
2009-01-16,4353.68017578125,,13.210000038146973,
2009-01-19,4366.73974609375,,13.300000190734863,
2009-01-20,4242.58984375,,13.1899995803833,
2009-01-21,4247.9501953125,,13.130000114440918,
2009-02-02,4259.9599609375,,13.1899995803833,
2009-02-03,4372.7900390625,,13.380000114440918,
2009-02-04,4389.9501953125,,13.5,
2009-02-05,4363.22998046875,,13.640000343322754,
2009-02-06,4471.2294921875,,13.800000190734863,
2009-02-09,4494.5693359375,,13.9399995803833,
2009-02-10,4526.07958984375,,14.050000190734863,
2009-02-11,4575.92919921875,,14.199999809265137,
2009-02-12,4466.3994140625,,13.800000190734863,
2009-02-13,4592.47900390625,,14.1899995803833,
2009-02-16,4591.23876953125,,14.100000381469727,
2009-02-17,4491.75927734375,,13.920000076293945,
2009-02-18,4498.349609375,,13.899999618530273,
2009-02-19,4528.84912109375,,14.079999923706055,
2009-02-20,4436.919921875,,13.800000190734863,
2009-02-23,4477.75927734375,,13.859999656677246,
2009-02-24,4430.16015625,,13.800000190734863,
2009-02-25,4493.7197265625,,13.899999618530273,
2009-02-26,4518.53955078125,,13.979999542236328,
2009-02-27,4557.12890625,,14.119999885559082,
2009-03-02,4425.81005859375,,13.819999694824219,
2009-03-03,4435.31982421875,,14.020000457763672,
2009-03-04,4541.39892578125,,14.260000228881836,
2009-03-05,4637.17919921875,,14.649999618530273,
2009-03-06,4653.60888671875,,14.699999809265137,
2009-03-09,4628.21923828125,,14.800000190734863,
2009-03-10,4670.9990234375,,15.020000457763672,
2009-03-11,4759.9384765625,,15.140000343322754,
2009-03-12,4754.62841796875,,15.140000343322754,
2009-03-13,4897.36767578125,,15.550000190734863,
2009-03-16,4971.296875,,15.699999809265137,
2009-03-17,5041.36669921875,,15.829999923706055,
2009-03-18,5047.5166015625,,15.789999961853027,
2009-03-19,5035.90673828125,,15.649999618530273,
2009-03-20,4961.59716796875,,15.600000381469727,
2009-03-23,5124.15625,,16.100000381469727,
2009-03-24,5242.15625,,16.450000762939453,
2009-03-25,5346.35595703125,,16.700000762939453,
2009-03-26,5386.53564453125,,16.700000762939453,
2009-03-27,5390.67529296875,,16.510000228881836,
2009-03-30,5206.02587890625,,16.0,
2009-03-31,5210.81591796875,,16.010000228881836,
2009-04-02,5473.7548828125,,16.760000228881836,
2009-04-03,5529.60498046875,,16.950000762939453,
2009-04-06,5556.1953125,,17.100000381469727,
2009-04-07,5576.8251953125,,17.290000915527344,
2009-04-08,5443.53515625,,17.010000228881836,
2009-04-09,5667.7744140625,,17.600000381469727,
2009-04-10,5781.93408203125,,17.920000076293945,
2009-04-13,5857.61328125,,18.100000381469727,
2009-04-14,5892.6533203125,,18.15999984741211,
2009-04-15,5875.1630859375,,18.1299991607666,
2009-04-16,5997.14208984375,,18.459999084472656,
2009-04-17,5755.35400390625,,17.489999771118164,
2009-04-20,5781.63427734375,,17.510000228881836,
2009-04-21,5881.38330078125,,18.0,
2009-04-22,5886.0830078125,,18.209999084472656,
2009-04-23,5875.21337890625,,18.15999984741211,
2009-04-24,5880.7431640625,,18.1200008392334,
2009-04-27,5705.0244140625,,17.670000076293945,
2009-04-28,5596.70458984375,,17.100000381469727,
